id,producto_id,modelo_id,motor_id,ano_desde,ano_hasta
f-00001,p-0001,ty-prado,,2010,2020
f-00002,p-0002,ni-versa,,2015,2020
f-00003,p-0002,ni-march,,2014,2021
f-00004,p-0003,hy-accent,,2012,2018
f-00005,p-0003,ki-rio,,2012,2017
f-00006,p-0004,fo-fiesta,,2011,2016
f-00007,p-0005,hy-tucson,,2016,2022
f-00008,p-0005,ki-sportage,,2016,2022
f-00009,p-0006,ty-corolla,,2014,2019
f-00010,p-0006,ty-yaris,,2018,2023
f-00011,p-0007,fo-escape,,2013,2019
f-00012,p-0008,rn-duster,,2012,2021
f-00013,p-0009,cv-captiva,,2008,2018
f-00014,p-0010,cv-onix,,2017,2024
f-00015,p-0010,cv-tracker,,2020,2025
f-00016,p-0011,rn-logan,,2014,2020
f-00017,p-0011,rn-sandero,,2015,2021
f-00018,p-0011,rn-stepway,,2016,2022
f-00019,p-0012,cv-spark-gt,,2011,2017
f-00020,p-0012,cv-sail,,2013,2019
f-00021,p-0013,mz-3,,2015,2019
f-00022,p-0013,mz-2,,2016,2021
f-00023,p-0013,mz-cx5,,2017,2023
f-00024,p-0014,ni-qashqai,,2018,2023
f-00025,p-0015,rn-kwid,,2018,2024
f-00026,p-0016,ty-hilux,,2016,2023
f-00027,p-0016,fo-ranger,,2016,2022
f-00028,p-0016,ni-frontier,,2010,2020
f-00029,p-0016,vw-amarok,,2011,2021
f-00030,p-0016,cv-dmax,,2006,2013
f-00031,p-0017,ty-prado,,2010,2020
f-00032,p-0018,ni-versa,,2015,2020
f-00033,p-0018,ni-march,,2014,2021
f-00034,p-0019,hy-accent,,2012,2018
f-00035,p-0019,ki-rio,,2012,2017
f-00036,p-0020,hy-tucson,,2016,2022
f-00037,p-0020,ki-sportage,,2016,2022
f-00038,p-0021,ty-hilux,,2016,2023
f-00039,p-0021,fo-ranger,,2016,2022
f-00040,p-0021,ni-frontier,,2010,2020
f-00041,p-0021,vw-amarok,,2011,2021
f-00042,p-0021,cv-dmax,,2006,2013
f-00043,p-0022,ty-corolla,,2014,2019
f-00044,p-0022,ty-yaris,,2018,2023
f-00045,p-0023,cv-spark-gt,,2011,2017
