id,nombre,pais,tipo,logo_url
bosch,Bosch,Alemania,original,
brembo,Brembo,Italia,original,
trw,TRW,Alemania,original,
ate,ATE,Alemania,original,
wagner,Wagner,Estados Unidos,homologada,
acdelco,ACDelco,Estados Unidos,original,
monroe,Monroe,Estados Unidos,original,
kyb,KYB,Japon,original,
sachs,Sachs,Alemania,original,
moog,Moog,Estados Unidos,homologada,
febi,Febi Bilstein,Alemania,homologada,
skf,SKF,Suecia,original,
zf,ZF,Alemania,original,
gates,Gates,Estados Unidos,original,
mann,Mann-Filter,Alemania,original,
mahle,Mahle,Alemania,original,
ngk,NGK,Japon,original,
denso,Denso,Japon,original,
valeo,Valeo,Francia,original,
delphi,Delphi,Reino Unido,homologada,
gmb,GMB,Japon,homologada,
gsp,GSP,China,alternativa,
philips,Philips,Paises Bajos,original,
mobil,Mobil 1,Estados Unidos,original,
castrol,Castrol,Reino Unido,original,
shell,Shell,Paises Bajos,original,
valvoline,Valvoline,Estados Unidos,homologada,
liquimoly,Liqui Moly,Alemania,original,
