id,sku,oem,nombre,descripcion,categoria_id,marca_repuesto_id,precio,precio_anterior,stock,garantia_meses,calificacion,numero_opiniones,destacado,ficha_tecnica
p-0001,BRE-A00001,04465-60A00,Pastillas de freno delanteras Toyota Prado,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,brembo,188000,229000,135,12,4.6,318,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Toyota Prado|Referencia OEM=04465-60A00
p-0002,BOS-A00002,D1060-1HA00,Pastillas de freno delanteras Nissan Versa / Nissan March,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,bosch,190000,,46,12,4.9,306,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Nissan Versa / Nissan March|Referencia OEM=D1060-1HA00
p-0003,ACD-A00003,58101-1RA00,Pastillas de freno delanteras Hyundai Accent / Kia Rio,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,acdelco,131000,,20,12,4.7,98,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Hyundai Accent / Kia Rio|Referencia OEM=58101-1RA00
p-0004,TRW-A00004,1848120A00,Pastillas de freno delanteras Ford Fiesta,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,trw,130000,,2,12,4.5,293,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Ford Fiesta|Referencia OEM=1848120A00
p-0005,ACD-A00005,58101-D3A00,Pastillas de freno delanteras Hyundai Tucson / Kia Sportage,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,acdelco,218000,274000,98,12,4.9,138,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Hyundai Tucson / Kia Sportage|Referencia OEM=58101-D3A00
p-0006,TRW-A00006,04465-02A00,Pastillas de freno delanteras Toyota Corolla / Toyota Yaris,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,trw,150000,,90,12,4.7,174,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Toyota Corolla / Toyota Yaris|Referencia OEM=04465-02A00
p-0007,BRE-A00007,1857858A00,Pastillas de freno delanteras Ford Escape,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,brembo,185000,,50,12,4.7,178,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Ford Escape|Referencia OEM=1857858A00
p-0008,ACD-A00008,410601A00,Pastillas de freno delanteras Renault Duster,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,acdelco,262000,,80,12,4.8,90,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Renault Duster|Referencia OEM=410601A00
p-0009,BOS-A00009,20911A00,Pastillas de freno delanteras Chevrolet Captiva,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,bosch,164000,,58,12,4.8,176,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Chevrolet Captiva|Referencia OEM=20911A00
p-0010,BRE-A00010,42707A00,Pastillas de freno delanteras Chevrolet Onix / Chevrolet Tracker,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,brembo,156000,,57,12,4.8,297,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Chevrolet Onix / Chevrolet Tracker|Referencia OEM=42707A00
p-0011,BRE-A00011,410605A00,Pastillas de freno delanteras Renault Logan / Renault Sandero,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,brembo,167000,,107,12,4.4,168,1,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Renault Logan / Renault Sandero|Referencia OEM=410605A00
p-0012,BRE-A00012,95priorityA00,Pastillas de freno delanteras Chevrolet Spark GT / Chevrolet Sail,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,brembo,231000,,0,12,4.7,67,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Chevrolet Spark GT / Chevrolet Sail|Referencia OEM=95priorityA00
p-0013,BRE-A00013,BHY1-33-28A00,Pastillas de freno delanteras Mazda Mazda 3 / Mazda Mazda 2,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,brembo,263000,,73,12,4.9,90,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Mazda Mazda 3 / Mazda Mazda 2|Referencia OEM=BHY1-33-28A00
p-0014,BRE-A00014,D1060-4EA00,Pastillas de freno delanteras Nissan Qashqai,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,brembo,179000,218000,90,12,4.8,185,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Nissan Qashqai|Referencia OEM=D1060-4EA00
p-0015,BOS-A00015,410609A00,Pastillas de freno delanteras Renault Kwid,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,bosch,172000,,20,12,4.1,208,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Renault Kwid|Referencia OEM=410609A00
p-0016,BOS-A00016,04465-0KA00,Pastillas de freno delanteras Toyota Hilux / Ford Ranger,"Juego de 4 pastillas para el eje delantero, con material de baja pulverizacion y menor ruido de frenado.",frenos,bosch,254000,288000,5,12,4.6,296,0,Posicion=Eje delantero|Piezas=4|Sensor de desgaste=Incluido|Aplicacion=Toyota Hilux / Ford Ranger|Referencia OEM=04465-0KA00
p-0017,BOS-A10017,04465-60A10,Pastillas de freno traseras Toyota Prado,Pastillas traseras con soporte de acero estampado y capa antirruido.,frenos,bosch,172000,,35,12,4.6,159,0,Posicion=Eje trasero|Piezas=4|Aplicacion=Toyota Prado|Referencia OEM=04465-60A10
p-0018,BOS-A10018,D1060-1HA10,Pastillas de freno traseras Nissan Versa / Nissan March,Pastillas traseras con soporte de acero estampado y capa antirruido.,frenos,bosch,135000,,79,12,4.5,224,0,Posicion=Eje trasero|Piezas=4|Aplicacion=Nissan Versa / Nissan March|Referencia OEM=D1060-1HA10
p-0019,TRW-A10019,58101-1RA10,Pastillas de freno traseras Hyundai Accent / Kia Rio,Pastillas traseras con soporte de acero estampado y capa antirruido.,frenos,trw,151000,,95,12,4.1,297,0,Posicion=Eje trasero|Piezas=4|Aplicacion=Hyundai Accent / Kia Rio|Referencia OEM=58101-1RA10
p-0020,BOS-A10020,58101-D3A10,Pastillas de freno traseras Hyundai Tucson / Kia Sportage,Pastillas traseras con soporte de acero estampado y capa antirruido.,frenos,bosch,167000,,18,12,4.2,263,0,Posicion=Eje trasero|Piezas=4|Aplicacion=Hyundai Tucson / Kia Sportage|Referencia OEM=58101-D3A10
p-0021,TRW-A10021,04465-0KA10,Pastillas de freno traseras Toyota Hilux / Ford Ranger,Pastillas traseras con soporte de acero estampado y capa antirruido.,frenos,trw,128000,,136,12,4.2,118,0,Posicion=Eje trasero|Piezas=4|Aplicacion=Toyota Hilux / Ford Ranger|Referencia OEM=04465-0KA10
p-0022,TRW-A10022,04465-02A10,Pastillas de freno traseras Toyota Corolla / Toyota Yaris,Pastillas traseras con soporte de acero estampado y capa antirruido.,frenos,trw,141000,,124,12,4.2,97,1,Posicion=Eje trasero|Piezas=4|Aplicacion=Toyota Corolla / Toyota Yaris|Referencia OEM=04465-02A10
p-0023,ATE-A10023,95priorityA10,Pastillas de freno traseras Chevrolet Spark GT / Chevrolet Sail,Pastillas traseras con soporte de acero estampado y capa antirruido.,frenos,ate,162000,189000,37,12,4.6,19,0,Posicion=Eje trasero|Piezas=4|Aplicacion=Chevrolet Spark GT / Chevrolet Sail|Referencia OEM=95priorityA10
p-0024,TRW-A10024,5U0698151A10,Pastillas de freno traseras Volkswagen Gol / Volkswagen Polo,Pastillas traseras con soporte de acero estampado y capa antirruido.,frenos,trw,190000,217000,79,12,4.4,150,1,Posicion=Eje trasero|Piezas=4|Aplicacion=Volkswagen Gol / Volkswagen Polo|Referencia OEM=5U0698151A10
p-0025,BOS-A10025,410605A10,Pastillas de freno traseras Renault Logan / Renault Sandero,Pastillas traseras con soporte de acero estampado y capa antirruido.,frenos,bosch,178000,,2,12,4.2,197,0,Posicion=Eje trasero|Piezas=4|Aplicacion=Renault Logan / Renault Sandero|Referencia OEM=410605A10
p-0026,BOS-A10026,410601A10,Pastillas de freno traseras Renault Duster,Pastillas traseras con soporte de acero estampado y capa antirruido.,frenos,bosch,97000,,129,12,4.4,113,1,Posicion=Eje trasero|Piezas=4|Aplicacion=Renault Duster|Referencia OEM=410601A10
p-0027,ATE-A10027,58101-3XA10,Pastillas de freno traseras Hyundai Elantra / Kia Cerato,Pastillas traseras con soporte de acero estampado y capa antirruido.,frenos,ate,127000,,38,12,4.5,282,1,Posicion=Eje trasero|Piezas=4|Aplicacion=Hyundai Elantra / Kia Cerato|Referencia OEM=58101-3XA10
p-0028,BOS-B00028,5U0698151B00,Disco de freno delantero ventilado Volkswagen Gol / Volkswagen Polo,Disco ventilado con recubrimiento anticorrosivo y balanceo de alta precision para evitar vibracion en el pedal.,frenos,bosch,373000,,91,12,4.5,127,0,Tipo=Ventilado|Posicion=Delantero|Aplicacion=Volkswagen Gol / Volkswagen Polo|Referencia OEM=5U0698151B00
p-0029,ATE-B00029,04465-60B00,Disco de freno delantero ventilado Toyota Prado,Disco ventilado con recubrimiento anticorrosivo y balanceo de alta precision para evitar vibracion en el pedal.,frenos,ate,228000,,131,12,4.7,100,0,Tipo=Ventilado|Posicion=Delantero|Aplicacion=Toyota Prado|Referencia OEM=04465-60B00
p-0030,TRW-B00030,55810-61MB00,Disco de freno delantero ventilado Suzuki Swift / Suzuki Vitara,Disco ventilado con recubrimiento anticorrosivo y balanceo de alta precision para evitar vibracion en el pedal.,frenos,trw,288000,,127,12,4.1,162,0,Tipo=Ventilado|Posicion=Delantero|Aplicacion=Suzuki Swift / Suzuki Vitara|Referencia OEM=55810-61MB00
p-0031,TRW-B00031,410609B00,Disco de freno delantero ventilado Renault Kwid,Disco ventilado con recubrimiento anticorrosivo y balanceo de alta precision para evitar vibracion en el pedal.,frenos,trw,264000,307000,130,12,4.9,11,0,Tipo=Ventilado|Posicion=Delantero|Aplicacion=Renault Kwid|Referencia OEM=410609B00
p-0032,BOS-B00032,20911B00,Disco de freno delantero ventilado Chevrolet Captiva,Disco ventilado con recubrimiento anticorrosivo y balanceo de alta precision para evitar vibracion en el pedal.,frenos,bosch,263000,,127,12,4.8,146,0,Tipo=Ventilado|Posicion=Delantero|Aplicacion=Chevrolet Captiva|Referencia OEM=20911B00
p-0033,TRW-B00033,1857858B00,Disco de freno delantero ventilado Ford Escape,Disco ventilado con recubrimiento anticorrosivo y balanceo de alta precision para evitar vibracion en el pedal.,frenos,trw,178000,,30,12,4.4,100,0,Tipo=Ventilado|Posicion=Delantero|Aplicacion=Ford Escape|Referencia OEM=1857858B00
